                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.1623,                0.72095,                0.87336,                0.52138,                0.39296,                0.40506,                0.24296,                  1.206,                0.84692,                0.88156,               0.005644,               0.005644,               0.005644
                    135,                 1.1632,                0.72656,                0.87249,                0.52107,                0.39281,                0.40522,                0.24333,                 1.2054,                0.84678,                 0.8814,               0.005611,               0.005611,               0.005611
                    136,                 1.1729,                0.72894,                0.87341,                0.52538,                0.39047,                0.40569,                0.24308,                 1.2048,                0.84559,                0.88136,               0.005578,               0.005578,               0.005578
                    137,                 1.1645,                 0.7233,                0.87232,                 0.5288,                0.39154,                0.40638,                0.24344,                 1.2044,                0.84533,                0.88134,               0.005545,               0.005545,               0.005545
                    138,                 1.1638,                  0.724,                 0.8735,                0.52525,                0.39229,                 0.4067,                0.24367,                  1.204,                0.84464,                0.88139,               0.005512,               0.005512,               0.005512
                    139,                 1.1093,                0.66275,                0.86193,                0.52761,                0.39282,                0.40587,                0.24307,                 1.2047,                0.84705,                0.88151,               0.005479,               0.005479,               0.005479
                    140,                 1.1101,                0.66761,                0.86287,                0.53056,                0.39188,                0.40588,                0.24316,                 1.2052,                0.84853,                 0.8818,               0.005446,               0.005446,               0.005446
                    141,                 1.1237,                0.67566,                0.86391,                0.52591,                0.39213,                 0.4054,                0.24286,                 1.2062,                0.84975,                 0.8819,               0.005413,               0.005413,               0.005413
                    142,                 1.1129,                0.67076,                0.86347,                0.52856,                 0.3921,                0.40513,                0.24262,                 1.2076,                0.85001,                0.88216,                0.00538,                0.00538,                0.00538
                    143,                 1.1099,                 0.6703,                0.86265,                0.52164,                0.39371,                0.40389,                0.24159,                 1.2081,                0.85195,                0.88244,               0.005347,               0.005347,               0.005347
                    144,                 1.1189,                0.67235,                0.86255,                0.52486,                0.39149,                0.40378,                0.24148,                 1.2092,                0.85272,                0.88285,               0.005314,               0.005314,               0.005314
                    145,                 1.1168,                0.67368,                0.86395,                0.52196,                0.39253,                0.40399,                0.24158,                 1.2098,                0.85382,                  0.883,               0.005281,               0.005281,               0.005281
                    146,                 1.1231,                0.67894,                0.86389,                0.52083,                0.39218,                 0.4043,                0.24128,                 1.2105,                0.85425,                0.88314,               0.005248,               0.005248,               0.005248
                    147,                  1.123,                0.67837,                0.86532,                0.52186,                0.39107,                 0.4037,                0.24128,                 1.2105,                0.85425,                0.88304,               0.005215,               0.005215,               0.005215
                    148,                 1.1256,                0.67801,                0.86528,                0.52269,                0.39211,                0.40379,                0.24137,                 1.2106,                0.85385,                0.88282,               0.005182,               0.005182,               0.005182
                    149,                  1.127,                0.68146,                0.86521,                0.52645,                0.38761,                0.40335,                0.24105,                 1.2106,                0.85402,                0.88266,               0.005149,               0.005149,               0.005149
                    150,                 1.1232,                0.67987,                0.86438,                0.52767,                0.38897,                0.40314,                0.24087,                 1.2106,                0.85449,                0.88271,               0.005116,               0.005116,               0.005116
                    151,                 1.1299,                0.68613,                0.86574,                0.52766,                0.38937,                0.40206,                0.24053,                 1.2108,                0.85482,                0.88263,               0.005083,               0.005083,               0.005083
                    152,                 1.1339,                0.68986,                0.86682,                0.52652,                 0.3898,                0.40199,                0.24024,                 1.2106,                0.85482,                0.88265,                0.00505,                0.00505,                0.00505
